question_id,image_id,question,ground_truth,retrieved_answers,retrieved_scores,oracle@1,oracle@3,oracle@5,oracle@10
262148000,262148,Where is he looking?,down,picnic table | down | watching | not hard | no | yes | black | rail | no | yes,1.0000 | 1.0000 | 1.0000 | 0.8487 | 0.8487 | 0.8487 | 0.8487 | 0.8487 | 0.8487 | 0.8487,0.0,1.0,1.0,1.0
262148001,262148,What are the people in the background doing?,watching,picnic table | down | watching | not hard | no | yes | black | rail | no | yes,1.0000 | 1.0000 | 1.0000 | 0.8487 | 0.8487 | 0.8487 | 0.8487 | 0.8487 | 0.8487 | 0.8487,0.0,1.0,1.0,1.0
262148002,262148,What is he on top of?,picnic table,picnic table | down | watching | not hard | no | yes | black | rail | no | yes,1.0000 | 1.0000 | 1.0000 | 0.8487 | 0.8487 | 0.8487 | 0.8487 | 0.8487 | 0.8487 | 0.8487,1.0,1.0,1.0,1.0
393225000,393225,What website copyrighted the picture?,foodiebakercom,no | chopsticks | foodiebakercom | yes | 2 | white | vegetables | mat | yes | 3,1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.6887 | 0.6887 | 0.6887 | 0.6887 | 0.6635 | 0.6635,0.0,1.0,1.0,1.0
393225001,393225,Is this a creamy soup?,no,no | chopsticks | foodiebakercom | yes | 2 | white | vegetables | mat | yes | 3,1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.6887 | 0.6887 | 0.6887 | 0.6887 | 0.6635 | 0.6635,1.0,1.0,1.0,1.0
393225002,393225,Is this rice noodle soup?,yes,no | chopsticks | foodiebakercom | yes | 2 | white | vegetables | mat | yes | 3,1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.6887 | 0.6887 | 0.6887 | 0.6887 | 0.6635 | 0.6635,0.0,0.0,1.0,1.0
393225003,393225,What is to the right of the soup?,chopsticks,no | chopsticks | foodiebakercom | yes | 2 | white | vegetables | mat | yes | 3,1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.6887 | 0.6887 | 0.6887 | 0.6887 | 0.6635 | 0.6635,0.0,1.0,1.0,1.0
393226000,393226,What is the man doing in the street?,walking,walking | 1 | ice cream | nowhere | no | 1 | yes | sedan | no | hat,1.0000 | 1.0000 | 1.0000 | 0.7547 | 0.7547 | 0.7547 | 0.7547 | 0.7547 | 0.7547 | 0.7547,1.0,1.0,1.0,1.0
393226001,393226,How many photo's can you see?,1,walking | 1 | ice cream | nowhere | no | 1 | yes | sedan | no | hat,1.0000 | 1.0000 | 1.0000 | 0.7547 | 0.7547 | 0.7547 | 0.7547 | 0.7547 | 0.7547 | 0.7547,0.0,1.0,1.0,1.0
393226002,393226,What does the truck on the left sell?,ice cream,walking | 1 | ice cream | nowhere | no | 1 | yes | sedan | no | hat,1.0000 | 1.0000 | 1.0000 | 0.7547 | 0.7547 | 0.7547 | 0.7547 | 0.7547 | 0.7547 | 0.7547,0.0,1.0,1.0,1.0
240301000,240301,Why is there a gap between the roof and wall?,yes,yes | yes | tired | yes | cow | 4 | bucket | 4 | yes | 6,1.0000 | 1.0000 | 1.0000 | 0.7976 | 0.7976 | 0.7976 | 0.7976 | 0.7976 | 0.7911 | 0.7911,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
240301001,240301,Is it daylight in this picture?,yes,yes | yes | tired | yes | cow | 4 | bucket | 4 | yes | 6,1.0000 | 1.0000 | 1.0000 | 0.7976 | 0.7976 | 0.7976 | 0.7976 | 0.7976 | 0.7911 | 0.7911,1.0,1.0,1.0,1.0
240301002,240301,Why is the cow laying down?,tired,yes | yes | tired | yes | cow | 4 | bucket | 4 | yes | 6,1.0000 | 1.0000 | 1.0000 | 0.7976 | 0.7976 | 0.7976 | 0.7976 | 0.7976 | 0.7911 | 0.7911,0.0,1.0,1.0,1.0
131089000,131089,What color is the grass in this picture?,green,yes | no | yes | 1 | green | green | frisbee | yes | no | glove,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.8265 | 0.8265 | 0.8265 | 0.8265 | 0.8053,0.0,0.0,1.0,1.0
131089001,131089,Did the batter hit the ball?,yes,yes | no | yes | 1 | green | green | frisbee | yes | no | glove,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.8265 | 0.8265 | 0.8265 | 0.8265 | 0.8053,1.0,1.0,1.0,1.0
131089002,131089,How many are playing ball?,1,yes | no | yes | 1 | green | green | frisbee | yes | no | glove,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.8265 | 0.8265 | 0.8265 | 0.8265 | 0.8053,0.0,0.0,1.0,1.0
131089003,131089,Is there a chain link fence in the image?,no,yes | no | yes | 1 | green | green | frisbee | yes | no | glove,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.8265 | 0.8265 | 0.8265 | 0.8265 | 0.8053,0.0,1.0,1.0,1.0
131089004,131089,Is the boy playing baseball?,yes,yes | no | yes | 1 | green | green | frisbee | yes | no | glove,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.8265 | 0.8265 | 0.8265 | 0.8265 | 0.8053,1.0,1.0,1.0,1.0
