template_name,question_id,image_id,question,ground_truth,prediction,vqa_score,prompt,retrieved_questions,retrieved_answers,candidate_answers,best_question_matched_answer,best_question_match_score,prompt_chars
current_prompt,2529010,2529,Is there snow on the ground?,no|no|no,no,1.0,"Q: Is there a blue car? A: no
Q: Are the street lights turned on? A: no
Q: What color is the building with the clock on it? A: white
Q: Is there snow on the ground? A:",Is there a blue car? || Are the street lights turned on? || What color is the building with the clock on it?,no || no || white,"no, white",no,0.0,167
current_prompt,2532000,2532,Is the skier going downhill?,no|no|yes,yes,1.0,"Q: What weather conditions appear in this scene? A: cloudy
Q: What color is the backpack? A: red
Q: Does the shadow fall to the skiers left or to the right? A: left
Q: Is the skier going downhill? A:",What weather conditions appear in this scene? || What color is the backpack? || Does the shadow fall to the skiers left or to the right?,cloudy || red || left,"cloudy, red, left",cloudy,0.0,199
current_prompt,2532001,2532,How do you know this skier is not alone on the mountain?,someone had to take photo|tracks|other ski tracks and footprints,not alone,0.0,"Q: What weather conditions appear in this scene? A: cloudy
Q: What color is the backpack? A: red
Q: Does the shadow fall to the skiers left or to the right? A: left
Q: How do you know this skier is not alone on the mountain? A:",What weather conditions appear in this scene? || What color is the backpack? || Does the shadow fall to the skiers left or to the right?,cloudy || red || left,"cloudy, red, left",cloudy,0.0,227
current_prompt,2532002,2532,How cold is it?,cold|15 degrees|freezing,cold,1.0,"Q: What weather conditions appear in this scene? A: cloudy
Q: What color is the backpack? A: red
Q: Does the shadow fall to the skiers left or to the right? A: left
Q: How cold is it? A:",What weather conditions appear in this scene? || What color is the backpack? || Does the shadow fall to the skiers left or to the right?,cloudy || red || left,"cloudy, red, left",cloudy,0.0,186
current_prompt,2532003,2532,Is it a sunny or cloudy day?,sunny|cloudy|cloudy,sunny,1.0,"Q: What weather conditions appear in this scene? A: cloudy
Q: What color is the backpack? A: red
Q: Does the shadow fall to the skiers left or to the right? A: left
Q: Is it a sunny or cloudy day? A:",What weather conditions appear in this scene? || What color is the backpack? || Does the shadow fall to the skiers left or to the right?,cloudy || red || left,"cloudy, red, left",left,0.1111,199
current_prompt,2532004,2532,What color is the sky?,blue|blue|blue,blue,1.0,"Q: What weather conditions appear in this scene? A: cloudy
Q: What color is the backpack? A: red
Q: Does the shadow fall to the skiers left or to the right? A: left
Q: What color is the sky? A:",What weather conditions appear in this scene? || What color is the backpack? || Does the shadow fall to the skiers left or to the right?,cloudy || red || left,"cloudy, red, left",red,0.3333,193
current_prompt,395749000,395749,What filter is being used in this image?,black and white|black & white|black and white,black and white,1.0,"Q: How many people are on the bench? A: 4
Q: Is the man alone on the bench? A: yes
Q: Are they on the beach? A: no
Q: What filter is being used in this image? A:",How many people are on the bench? || Is the man alone on the bench? || Are they on the beach?,4 || yes || no,"4, yes, no",4,0.0,161
current_prompt,395749001,395749,Are all the people elderly?,no|yes|no,no,1.0,"Q: How many people are on the bench? A: 4
Q: Is the man alone on the bench? A: yes
Q: Are they on the beach? A: no
Q: Are all the people elderly? A:",How many people are on the bench? || Is the man alone on the bench? || Are they on the beach?,4 || yes || no,"4, yes, no",4,0.2,148
current_prompt,395749002,395749,How many people can be seen?,4|4|4,3,0.0,"Q: How many people are on the bench? A: 4
Q: Is the man alone on the bench? A: yes
Q: Are they on the beach? A: no
Q: How many people can be seen? A:",How many people are on the bench? || Is the man alone on the bench? || Are they on the beach?,4 || yes || no,"4, yes, no",4,0.5,149
current_prompt,395749003,395749,What ocean might this be?,atlantic|antarctic|atlantic,ocean,0.0,"Q: How many people are on the bench? A: 4
Q: Is the man alone on the bench? A: yes
Q: Are they on the beach? A: no
Q: What ocean might this be? A:",How many people are on the bench? || Is the man alone on the bench? || Are they on the beach?,4 || yes || no,"4, yes, no",4,0.0,146
current_prompt,395749004,395749,How many people are in the photo?,4|4|4,3,0.0,"Q: How many people are on the bench? A: 4
Q: Is the man alone on the bench? A: yes
Q: Are they on the beach? A: no
Q: How many people are in the photo? A:",How many people are on the bench? || Is the man alone on the bench? || Are they on the beach?,4 || yes || no,"4, yes, no",4,0.5,154
current_prompt,395752000,395752,What color are the mums in the front of the photo?,"pink|red|pink, red, yellow",red,0.6667,"Q: Which route is the red bus running? A: special
Q: How many levels is the bus? A: 1
Q: Does the train carry passengers? A: yes
Q: What color are the mums in the front of the photo? A:",Which route is the red bus running? || How many levels is the bus? || Does the train carry passengers?,special || 1 || yes,"special, 1, yes",special,0.0,185
current_prompt,395752001,395752,Can a mail truck fit behind the bus to pick up the mail?,yes|yes|yes,yes,1.0,"Q: Which route is the red bus running? A: special
Q: How many levels is the bus? A: 1
Q: Does the train carry passengers? A: yes
Q: Can a mail truck fit behind the bus to pick up the mail? A:",Which route is the red bus running? || How many levels is the bus? || Does the train carry passengers?,special || 1 || yes,"special, 1, yes",1,0.1111,191
current_prompt,395752002,395752,"What  ""Over the Rainbow"" singer sang about this vehicle?",judy garland|judy garland|train,Judy Garland,1.0,"Q: Which route is the red bus running? A: special
Q: How many levels is the bus? A: 1
Q: Does the train carry passengers? A: yes
Q: What  ""Over the Rainbow"" singer sang about this vehicle? A:",Which route is the red bus running? || How many levels is the bus? || Does the train carry passengers?,special || 1 || yes,"special, 1, yes",special,0.0,191
