qid,category,question,gt,rag_k3,retrieved_top3
2529010,retrieval_then_lm,Is there snow on the ground?,no|no|no,no,no || no || white
2532003,retrieval_then_lm,Is it a sunny or cloudy day?,sunny|cloudy|cloudy,sunny,cloudy || red || left
395749001,retrieval_then_lm,Are all the people elderly?,no|yes|no,no,4 || yes || no
395752001,retrieval_then_lm,Can a mail truck fit behind the bus to pick up the mail?,yes|yes|yes,yes,special || 1 || yes
395752004,retrieval_then_lm,Is someone getting on this street car?,yes|yes|yes,yes,special || 1 || yes
133620001,retrieval_then_lm,Is she wearing glasses?,yes|yes|yes,yes,blue || yes || book
133620003,retrieval_then_lm,Is the woman happy?,yes|yes|yes,yes,blue || yes || book
526837000,retrieval_then_lm,Is this man dressed for the weather?,yes|yes|yes,yes,skis || yes || yes
133622002,retrieval_then_lm,Is this a high class dish?,yes|yes|no,no,cod || white || yes
133629003,retrieval_then_lm,Is this chair in the way of people who might walk through?,no|no|no,no,purple || apple || yes
133631001,retrieval_then_lm,Is it sunny out?,yes|yes|yes,yes,1 || no || yes
133631002,retrieval_then_lm,Does the elephant need water?,yes|yes|yes,yes,1 || no || yes
2562004,retrieval_then_lm,What sport is being played?,tennis|tennis|tennis,tennis,black || tennis || 2
264718001,retrieval_then_lm,Do you have to pay to park here?,yes|yes|yes,yes,red || yes || nothing
133648003,retrieval_then_lm,Which game are they playing?,baseball|baseball|baseball,baseball,5 || baseball || 6
459182000,retrieval_then_lm,What are they carrying?,surfboards|surfboards|surfboards,surfboards,no || ocean || surfboards
264730003,retrieval_then_lm,What kind of numbers are on the clock?,roman numerals|roman|roman numerals,roman,roman || 3 || yes
2587001,retrieval_then_lm,What is not healthy in the baggie?,donut|doughnut|donut,donut,no || donut || 2
2532000,generator_smart,Is the skier going downhill?,no|no|yes,yes,cloudy || red || left
2532002,generator_smart,How cold is it?,cold|15 degrees|freezing,cold,cloudy || red || left
2532004,generator_smart,What color is the sky?,blue|blue|blue,blue,cloudy || red || left
395749000,generator_smart,What filter is being used in this image?,black and white|black & white|black and white,black and white,4 || yes || no
395752002,generator_smart,"What  ""Over the Rainbow"" singer sang about this vehicle?",judy garland|judy garland|train,Judy Garland,special || 1 || yes
395752003,generator_smart,What color are the hubcaps?,red|red|red,red,special || 1 || yes
264683000,generator_smart,Is this airplane inside?,yes|yes|yes,yes,planes || 0230 || 23
264683001,generator_smart,What airline does the plane fly for?,air france|air france|air france,Air France,planes || 0230 || 23
264683002,generator_smart,Are there planes hanging?,yes|yes|yes,yes,planes || 0230 || 23
264686000,generator_smart,How many side tables are there?,2|2|2,2,sun || no || no
264686001,generator_smart,How many windows are on the wall?,3|3|3,3,sun || no || no
133619000,generator_smart,What type of truck is it?,fire engine|fire truck|service truck,fire truck,no || yes || 8
133619001,generator_smart,What time of day is it?,night|night|night,night,no || yes || 8
133620002,generator_smart,What is she wearing on her head?,hat|helmet|hat,hat,blue || yes || book
526837002,generator_smart,What is covering the ground?,snow|snow|snow,snow,skis || yes || yes
133622000,generator_smart,Are these vegetables or fruits?,vegetables|vegetables|vegetables,vegetables,cod || white || yes
133622001,generator_smart,What is the yellow topping?,cheese|glaze|cheese,cheese,cod || white || yes
133622003,generator_smart,What is the long thin food with seeds?,broccoli|cake|cheese,broccoli,cod || white || yes
133622004,generator_smart,What is the green topping?,broccoli|broccoli|broccoli,broccoli,cod || white || yes
133622007,generator_smart,What vegetable is this?,broccoli|broccoli|broccoli,broccoli,cod || white || yes
