question_id,question,top1_score,margin,rag_acc
2529010,Is there snow on the ground?,1.0,0.0,1.0
2532000,Is the skier going downhill?,0.8235,0.0,1.0
2532001,How do you know this skier is not alone on the mountain?,0.8235,0.0,0.0
2532002,How cold is it?,0.8235,0.0,0.0
2532003,Is it a sunny or cloudy day?,0.8235,0.0,0.0
2532004,What color is the sky?,0.8235,0.0,1.0
395749000,What filter is being used in this image?,0.7899,0.0,1.0
395749001,Are all the people elderly?,0.7899,0.0,1.0
395749002,How many people can be seen?,0.7899,0.0,0.0
395749003,What ocean might this be?,0.7899,0.0,0.0
395749004,How many people are in the photo?,0.7899,0.0,0.0
395752000,What color are the mums in the front of the photo?,0.7668,0.0,0.6666666666666666
395752001,Can a mail truck fit behind the bus to pick up the mail?,0.7668,0.0,1.0
395752002,"What  ""Over the Rainbow"" singer sang about this vehicle?",0.7668,0.0,1.0
395752003,What color are the hubcaps?,0.7668,0.0,0.0
395752004,Is someone getting on this street car?,0.7668,0.0,1.0
264683000,Is this airplane inside?,0.7008,0.0,1.0
264683001,What airline does the plane fly for?,0.7008,0.0,0.0
264683002,Are there planes hanging?,0.7008,0.0,1.0
264686000,How many side tables are there?,0.8593,0.0,0.0
264686001,How many windows are on the wall?,0.8593,0.0,1.0
264686002,Is the TV a tube or flat screen?,0.8593,0.0,0.0
133619000,What type of truck is it?,0.6124,0.0,1.0
133619001,What time of day is it?,0.6124,0.0,1.0
133619002,What color is the light above the hood of the truck?,0.6124,0.0,0.0
133620000,Why does the woman have her hair up?,0.673,0.0,0.0
133620001,Is she wearing glasses?,0.673,0.0,0.0
133620002,What is she wearing on her head?,0.673,0.0,1.0
133620003,Is the woman happy?,0.673,0.0,1.0
526837000,Is this man dressed for the weather?,0.8984,0.0,1.0
526837001,What is this man holding?,0.8984,0.0,1.0
526837002,What is covering the ground?,0.8984,0.0,1.0
133622000,Are these vegetables or fruits?,0.7478,0.0,0.0
133622001,What is the yellow topping?,0.7478,0.0,1.0
133622002,Is this a high class dish?,0.7478,0.0,1.0
133622003,What is the long thin food with seeds?,0.7478,0.0,0.0
133622004,What is the green topping?,0.7478,0.0,0.0
133622005,What is the yellow item pictured?,0.7478,0.0,0.0
133622006,How are the eggs cooked?,0.7478,0.0,0.6666666666666666
133622007,What vegetable is this?,0.7478,0.0,1.0
133622008,What kinds of food are on the plate?,0.7478,0.0,0.0
22271000,Is this a bright and sunny day?,0.649,0.0,1.0
22271001,Are there people in the picture?,0.649,0.0,1.0
22271002,What is the name of the street sign on the ground?,0.649,0.0,1.0
133629000,Is this a public place?,0.8375,0.0,1.0
133629001,What color is the desk?,0.8375,0.0,0.3333333333333333
133629002,How many chairs have wheels?,0.8375,0.0,0.0
133629003,Is this chair in the way of people who might walk through?,0.8375,0.0,1.0
133629004,Can these items be used to make food?,0.8375,0.0,0.0
133629005,What do people do here?,0.8375,0.0,1.0
