qid,image_id,question,is_yn,gt,baseline,rag_cur,rag_qar,type_router,selector_cur,norm_rag_cur,stacked,candidates_cur,candidates_qar,selector_cur_reason,norm_rag_cur_reason,stacked_pipeline
2529010,2529,Is there snow on the ground?,True,no|no|no,no,no,no,no,no,no,no,"no, white","no, white",majority>=2,no_change,router='no' | selector='no' (yn_baseline) | norm='no' (no_change)
2532000,2532,Is the skier going downhill?,True,no|no|yes,no,yes,down,no,yes,yes,no,"cloudy, red, left","no, bottom, up",raw_rag,no_change,router='no' | selector='no' (yn_baseline) | norm='no' (no_change)
2532001,2532,How do you know this skier is not alone on the mountain?,False,someone had to take photo|tracks|other ski tracks and footprints,You don't,not alone,I don't,not alone,not alone,not alone,i don t,"cloudy, red, left","no, bottom, up",raw_rag,no_change,"router=""I don't"" | selector=""I don't"" (raw_rag) | norm='i don t' (stripped_punctuation)"
2532002,2532,How cold is it?,False,cold|15 degrees|freezing,sky is blue,cold,very cold,cold,cold,cold,very cold,"cloudy, red, left","yes, cloudy, red",raw_rag,no_change,router='very cold' | selector='very cold' (raw_rag) | norm='very cold' (no_change)
2532003,2532,Is it a sunny or cloudy day?,True,sunny|cloudy|cloudy,sunny day,sunny,sunny,sunny day,sunny,sunny,sunny day,"cloudy, red, left","cloudy, red, left",raw_rag,no_change,router='sunny day' | selector='sunny day' (yn_baseline) | norm='sunny day' (no_change)
2532004,2532,What color is the sky?,False,blue|blue|blue,blue,blue,blue,blue,blue,blue,blue,"cloudy, red, left","cloudy, red, left",raw_rag,no_change,router='blue' | selector='blue' (raw_rag) | norm='blue' (no_change)
395749000,395749,What filter is being used in this image?,False,black and white|black & white|black and white,black and white,black and white,black and white,black and white,black and white,black and white,black and white,"4, yes, no","4, yes, no",raw_rag,no_change,router='black and white' | selector='black and white' (raw_rag) | norm='black and white' (no_change)
395749001,395749,Are all the people elderly?,True,no|yes|no,no,no,no,no,no,no,no,"4, yes, no","4, yes, no",raw_rag,no_change,router='no' | selector='no' (yn_baseline) | norm='no' (no_change)
395749002,395749,How many people can be seen?,False,4|4|4,Three,3,3,3,3,3,3,"4, yes, no","4, yes, no",raw_rag,no_change,router='3' | selector='3' (raw_rag) | norm='3' (no_change)
395749003,395749,What ocean might this be?,False,atlantic|antarctic|atlantic,Atlantic Ocean,ocean,ocean,ocean,ocean,ocean,ocean,"4, yes, no","yes, street, 4",raw_rag,no_change,router='ocean' | selector='ocean' (raw_rag) | norm='ocean' (no_change)
395749004,395749,How many people are in the photo?,False,4|4|4,3,3,3,3,3,3,3,"4, yes, no","4, yes, no",raw_rag,no_change,router='3' | selector='3' (raw_rag) | norm='3' (no_change)
395752000,395752,What color are the mums in the front of the photo?,False,"pink|red|pink, red, yellow",red and green,red,red,red,red,red,red,"special, 1, yes","special, 1, yes",raw_rag,no_change,router='red' | selector='red' (raw_rag) | norm='red' (no_change)
395752001,395752,Can a mail truck fit behind the bus to pick up the mail?,True,yes|yes|yes,yes,yes,yes,yes,yes,yes,yes,"special, 1, yes","yes, special",raw_rag,no_change,router='yes' | selector='yes' (yn_baseline) | norm='yes' (no_change)
395752002,395752,"What  ""Over the Rainbow"" singer sang about this vehicle?",False,judy garland|judy garland|train,"""Over the Rainbow""",Judy Garland,Over the Rainbow,Judy Garland,Judy Garland,judy garland,bus,"special, 1, yes","bus, white",raw_rag,no_change,router='Over the Rainbow' | selector='bus' (majority>=2) | norm='bus' (no_change)
395752003,395752,What color are the hubcaps?,False,red|red|red,Red and green,red,red,red,red,red,red,"special, 1, yes","special, 1, yes",raw_rag,no_change,router='red' | selector='red' (raw_rag) | norm='red' (no_change)
395752004,395752,Is someone getting on this street car?,True,yes|yes|yes,yes,yes,yes,yes,yes,yes,yes,"special, 1, yes","special, 1, yes",raw_rag,no_change,router='yes' | selector='yes' (yn_baseline) | norm='yes' (no_change)
264683000,264683,Is this airplane inside?,True,yes|yes|yes,yes,yes,yes,yes,yes,yes,yes,"planes, 0230, 23","no, yes, 1",raw_rag,no_change,router='yes' | selector='yes' (yn_baseline) | norm='yes' (no_change)
264683001,264683,What airline does the plane fly for?,False,air france|air france|air france,United Airlines,Air France,American Airlines,Air France,Air France,air france,american airlines,"planes, 0230, 23","no, yes, 1",raw_rag,no_change,router='American Airlines' | selector='American Airlines' (raw_rag) | norm='american airlines' (no_change)
264683002,264683,Are there planes hanging?,True,yes|yes|yes,yes,yes,yes,yes,yes,yes,yes,"planes, 0230, 23","no, yes",raw_rag,no_change,router='yes' | selector='yes' (yn_baseline) | norm='yes' (no_change)
264686000,264686,How many side tables are there?,False,2|2|2,Three,2,2,2,no,2,2,"sun, no","3, sit, sun",majority>=2,no_change,router='2' | selector='2' (raw_rag) | norm='2' (no_change)
264686001,264686,How many windows are on the wall?,False,3|3|3,Three,3,3,3,no,3,no,"sun, no","sun, no",majority>=2,no_change,router='3' | selector='no' (majority>=2) | norm='no' (no_change)
264686002,264686,Is the TV a tube or flat screen?,True,tube|tube|tube,tube,flat screen,tube,tube,no,flat screen,tube,"sun, no","no, sun",majority>=2,no_change,router='tube' | selector='tube' (yn_baseline) | norm='tube' (no_change)
133619000,133619,What type of truck is it?,False,fire engine|fire truck|service truck,Fire truck,fire truck,fire truck,fire truck,fire truck,fire truck,fire truck,"no, yes, 8","parked, no, yes",raw_rag,no_change,router='fire truck' | selector='fire truck' (raw_rag) | norm='fire truck' (no_change)
133619001,133619,What time of day is it?,False,night|night|night,night,night,morning,night,night,night,morning,"no, yes, 8","9:15, evening, no",raw_rag,no_change,router='morning' | selector='morning' (raw_rag) | norm='morning' (no_change)
133619002,133619,What color is the light above the hood of the truck?,False,yellow|blue|blue,Red,red,red,red,red,red,red,"no, yes, 8","8, parked, no",raw_rag,no_change,router='red' | selector='red' (raw_rag) | norm='red' (no_change)
133620000,133620,Why does the woman have her hair up?,False,uniform|on duty|uniform,Because she's a police officer,to keep it out of her face,to keep it out of her face,to keep it out of her face,to keep it out of her face,to keep it out of her face,to keep it out of her face,"blue, yes, book","umbrella, blue, yes",raw_rag,no_change,router='to keep it out of her face' | selector='to keep it out of her face' (raw_rag) | norm='to keep it out of her face' (no_change)
133620001,133620,Is she wearing glasses?,True,yes|yes|yes,yes,yes,yes,yes,yes,yes,yes,"blue, yes, book","blue, yes, book",raw_rag,no_change,router='yes' | selector='yes' (yn_baseline) | norm='yes' (no_change)
133620002,133620,What is she wearing on her head?,False,hat|helmet|hat,police helmet,hat,hat,hat,hat,hat,hat,"blue, yes, book","blue, yes, book",raw_rag,no_change,router='hat' | selector='hat' (raw_rag) | norm='hat' (no_change)
133620003,133620,Is the woman happy?,True,yes|yes|yes,yes,yes,yes,yes,yes,yes,yes,"blue, yes, book","blue, yes, book",raw_rag,no_change,router='yes' | selector='yes' (yn_baseline) | norm='yes' (no_change)
526837000,526837,Is this man dressed for the weather?,True,yes|yes|yes,yes,yes,yes,yes,yes,yes,yes,"skis, yes","skis, yes",majority>=2,no_change,router='yes' | selector='yes' (yn_baseline) | norm='yes' (no_change)
526837001,526837,What is this man holding?,False,ski pole|ski poles|poles,Ski poles,skis,skis,skis,yes,skis,yes,"skis, yes","skis, yes",majority>=2,no_change,router='skis' | selector='yes' (majority>=2) | norm='yes' (no_change)
526837002,526837,What is covering the ground?,False,snow|snow|snow,Snow,snow,snow,snow,yes,snow,yes,"skis, yes","skis, yes",majority>=2,no_change,router='snow' | selector='yes' (majority>=2) | norm='yes' (no_change)
133622000,133622,Are these vegetables or fruits?,True,vegetables|vegetables|vegetables,Vegetables,vegetables,vegetables,Vegetables,vegetables,vegetables,vegetables,"cod, white, yes","broccoli, yes, cod",raw_rag,no_change,router='Vegetables' | selector='Vegetables' (yn_baseline) | norm='vegetables' (no_change)
133622001,133622,What is the yellow topping?,False,cheese|glaze|cheese,bacon,cheese,cheese,cheese,cheese,cheese,cheese,"cod, white, yes","cheesecake, cod, white",raw_rag,no_change,router='cheese' | selector='cheese' (raw_rag) | norm='cheese' (no_change)
133622002,133622,Is this a high class dish?,True,yes|yes|no,no,no,no,no,no,no,no,"cod, white, yes","no, cod, white",raw_rag,no_change,router='no' | selector='no' (yn_baseline) | norm='no' (no_change)
133622003,133622,What is the long thin food with seeds?,False,broccoli|cake|cheese,Broccoli cheddar quiche,broccoli,quinoa,broccoli,broccoli,broccoli,quinoa,"cod, white, yes","cheesecake, vegetables, cod",raw_rag,no_change,router='quinoa' | selector='quinoa' (raw_rag) | norm='quinoa' (no_change)
133622004,133622,What is the green topping?,False,broccoli|broccoli|broccoli,Broccoli,broccoli,bacon,broccoli,broccoli,broccoli,bacon,"cod, white, yes","broccoli, cod, white",raw_rag,no_change,router='bacon' | selector='bacon' (raw_rag) | norm='bacon' (no_change)
133622005,133622,What is the yellow item pictured?,False,cheese|cake|cheese,Broccoli and cheese quiche,broccoli,broccoli,broccoli,broccoli,broccoli,broccoli,"cod, white, yes","cod, white, yes",raw_rag,no_change,router='broccoli' | selector='broccoli' (raw_rag) | norm='broccoli' (no_change)
133622006,133622,How are the eggs cooked?,False,scrambled|scramble|omelet,not,poached,scrambled,poached,poached,poached,scrambled,"cod, white, yes","no, cod, white",raw_rag,no_change,router='scrambled' | selector='scrambled' (raw_rag) | norm='scrambled' (no_change)
133622007,133622,What vegetable is this?,False,broccoli|broccoli|broccoli,Broccoli,broccoli,broccoli,broccoli,broccoli,broccoli,broccoli,"cod, white, yes","broccoli, yes, cod",raw_rag,no_change,router='broccoli' | selector='broccoli' (raw_rag) | norm='broccoli' (no_change)
133622008,133622,What kinds of food are on the plate?,False,"breakfast|spinach|eggs, spinach",Broccoli and cheese casserole,broccoli and cheese,broccoli and cheese,broccoli and cheese,broccoli and cheese,broccoli and cheese,broccoli and cheese,"cod, white, yes","cod, white, yes",raw_rag,no_change,router='broccoli and cheese' | selector='broccoli and cheese' (raw_rag) | norm='broccoli and cheese' (no_change)
22271000,22271,Is this a bright and sunny day?,True,no|no|no,no,yes,yes,no,yes,yes,no,"orange, sidewalk, unknown","orange, sidewalk, unknown",raw_rag,no_change,router='no' | selector='no' (yn_baseline) | norm='no' (no_change)
22271001,22271,Are there people in the picture?,True,yes|yes|yes,yes,yes,yes,yes,yes,yes,yes,"orange, sidewalk, unknown","orange, sidewalk, unknown",raw_rag,no_change,router='yes' | selector='yes' (yn_baseline) | norm='yes' (no_change)
22271002,22271,What is the name of the street sign on the ground?,False,western ave|western ave|western ave,Western Avenue,western,western avenue,western,western,western,western avenue,"orange, sidewalk, unknown","fire hydrant you're so patient, orange, sidewalk",raw_rag,no_change,router='western avenue' | selector='western avenue' (raw_rag) | norm='western avenue' (no_change)
133629000,133629,Is this a public place?,True,no|no|no,no,no,no,no,no,no,no,"purple, apple, yes","purple, apple, yes",raw_rag,no_change,router='no' | selector='no' (yn_baseline) | norm='no' (no_change)
133629001,133629,What color is the desk?,False,brown|brown|brown,desk is brown,brown,black,brown,brown,brown,black,"purple, apple, yes","purple, brown, yes",raw_rag,no_change,router='black' | selector='black' (raw_rag) | norm='black' (no_change)
133629002,133629,How many chairs have wheels?,False,1|1|1,None,3,3,3,3,3,3,"purple, apple, yes","purple, apple, yes",raw_rag,no_change,router='3' | selector='3' (raw_rag) | norm='3' (no_change)
133629003,133629,Is this chair in the way of people who might walk through?,True,no|no|no,no,no,no,no,no,no,no,"purple, apple, yes","purple, apple, yes",raw_rag,no_change,router='no' | selector='no' (yn_baseline) | norm='no' (no_change)
133629004,133629,Can these items be used to make food?,True,no|no|no,no,yes,yes,no,yes,yes,no,"purple, apple, yes","purple, apple, yes",raw_rag,no_change,router='no' | selector='no' (yn_baseline) | norm='no' (no_change)
133629005,133629,What do people do here?,False,work|work|office work,They work,work,work,work,work,work,work,"purple, apple, yes","purple, apple, yes",raw_rag,no_change,router='work' | selector='work' (raw_rag) | norm='work' (no_change)
133629006,133629,What color is the lampshade?,False,off white|white|white,lampshade is black,purple,purple,purple,purple,purple,purple,"purple, apple, yes","purple, apple, yes",raw_rag,no_change,router='purple' | selector='purple' (raw_rag) | norm='purple' (no_change)
133629007,133629,What type of computer is on the desk?,False,mac|laptop|laptop,laptop computer,apple,laptop,apple,apple,apple,laptop,"purple, apple, yes","apple, desktop, black",raw_rag,no_change,router='laptop' | selector='laptop' (raw_rag) | norm='laptop' (no_change)
133631000,133631,"Which is longer, the Elephant's tusks or the Elephant's trunk?",False,trunk|trunk|trunk,Elephant's trunk,trunk,yes,trunk,trunk,trunk,yes,"1, no, yes",yes,raw_rag,no_change,router='yes' | selector='yes' (majority>=2) | norm='yes' (no_change)
133631001,133631,Is it sunny out?,True,yes|yes|yes,yes,yes,yes,yes,yes,yes,yes,"1, no, yes","1, no, yes",raw_rag,no_change,router='yes' | selector='yes' (yn_baseline) | norm='yes' (no_change)
133631002,133631,Does the elephant need water?,True,yes|yes|yes,no,yes,yes,no,yes,yes,no,"1, no, yes","no, yes",raw_rag,no_change,router='no' | selector='no' (yn_baseline) | norm='no' (no_change)
2562000,2562,What is the color scheme of the photo?,False,"white|white and blue|white, blue",White,blue,blue,blue,blue,blue,blue,"black, tennis, 2","black, tennis, 2",raw_rag,no_change,router='blue' | selector='blue' (raw_rag) | norm='blue' (no_change)
2562001,2562,Are all the men tennis players?,True,yes|no|no,no,yes,yes,no,yes,yes,no,"black, tennis, 2","spectators, black, tennis",raw_rag,no_change,router='no' | selector='no' (yn_baseline) | norm='no' (no_change)
2562002,2562,Is the man wearing a wristband?,True,yes|yes|yes,no,yes,yes,no,yes,yes,no,"black, tennis, 2","black, tennis, 2",raw_rag,no_change,router='no' | selector='no' (yn_baseline) | norm='no' (no_change)
2562003,2562,What two brands are shown advertised behind the tennis player?,False,olympus and wta|olympus and wta|wta and olympus,Nike and Wilson,Nike and Wilson,Nike and Wilson,Nike and Wilson,Nike and Wilson,nike and wilson,nike and wilson,"black, tennis, 2","serving, spectators, black",raw_rag,no_change,router='Nike and Wilson' | selector='Nike and Wilson' (raw_rag) | norm='nike and wilson' (no_change)
2562004,2562,What sport is being played?,False,tennis|tennis|tennis,Tennis,tennis,tennis,tennis,tennis,tennis,tennis,"black, tennis, 2","tennis, black",raw_rag,no_change,router='tennis' | selector='tennis' (majority>=2) | norm='tennis' (no_change)
133636000,133636,What is the number on the left parking meter?,False,12|12|19,1,1-2-3,2,1-2-3,1-2-3,1-2-3,2,"parking meter, 9-6 m-f, yes","9-6 m-f, 1, yes",raw_rag,no_change,router='2' | selector='2' (raw_rag) | norm='2' (no_change)
133636001,133636,How much time is left?,False,0 time|expired|0,None,30 minutes,30 minutes,30 minutes,30 minutes,30 minutes,30 minutes,"parking meter, 9-6 m-f, yes","parking meter, 9-6 m-f, yes",raw_rag,no_change,router='30 minutes' | selector='30 minutes' (raw_rag) | norm='30 minutes' (no_change)
133636002,133636,What number is the parking meter on the right?,False,13|13|13,1,2,2,2,2,2,2,"parking meter, 9-6 m-f, yes","9-6 m-f, 1, yes",raw_rag,no_change,router='2' | selector='2' (raw_rag) | norm='2' (no_change)
133636003,133636,Is there any cars on the street?,True,no|no|0,no,yes,yes,no,yes,yes,no,"parking meter, 9-6 m-f, yes","parking meter, 9-6 m-f, yes",raw_rag,no_change,router='no' | selector='no' (yn_baseline) | norm='no' (no_change)
133636004,133636,Are the meters rusted?,True,no|no|no,no,no,no,no,no,no,no,"parking meter, 9-6 m-f, yes","9-6 m-f, yes",raw_rag,no_change,router='no' | selector='no' (yn_baseline) | norm='no' (no_change)
133636005,133636,Is there time remaining on the meter?,True,yes|yes|no,yes,yes,yes,yes,yes,yes,yes,"parking meter, 9-6 m-f, yes","9-6 m-f, yes",raw_rag,no_change,router='yes' | selector='yes' (yn_baseline) | norm='yes' (no_change)
133636006,133636,How many meters are there?,False,2|2|2,Two,2,2,2,2,2,yes,"parking meter, 9-6 m-f, yes","9-6 m-f, yes",raw_rag,no_change,router='2' | selector='yes' (majority>=2) | norm='yes' (no_change)
133645000,133645,Is there someone on the bench?,True,no|no|no,no,no,no,no,no,no,no,"blue, 25, boat","dog, grass, blue",raw_rag,no_change,router='no' | selector='no' (yn_baseline) | norm='no' (no_change)
133645001,133645,Are the street lights turned on?,True,yes|yes|yes,yes,yes,yes,yes,yes,yes,yes,"blue, 25, boat","blue, 25, boat",raw_rag,no_change,router='yes' | selector='yes' (yn_baseline) | norm='yes' (no_change)
133645002,133645,Is the water clear?,True,no|yes|yes,yes,yes,yes,yes,yes,yes,yes,"blue, 25, boat",yes,raw_rag,no_change,router='yes' | selector='yes' (yn_baseline) | norm='yes' (no_change)
133645003,133645,What type of boat is in the water?,False,private|sailboat|pontoon,motor boat,boat,boat,boat,boat,boat,boat,"blue, 25, boat","blue, 25, boat",raw_rag,no_change,router='boat' | selector='boat' (raw_rag) | norm='boat' (no_change)
264718000,264718,How long is the parking on the street?,False,12 hours|2 hours|7 spots,2 hours,2 hours,2 hours,2 hours,2 hours,2 hours,2 hours,"red, yes, nothing","red, yes, nothing",raw_rag,no_change,router='2 hours' | selector='2 hours' (raw_rag) | norm='2 hours' (no_change)
